predictors,k,WAIC,CPO,DIC,Mlik,row
dist_km+poverty_index+may_bin+wood_pct+wood_bin,5,481.6031850160569,248.60592448134457,470.50873509920666,-262.9719996920319,log marginal-likelihood (integration)104
dist_km+poverty_index+len_bin+urban_pct+wood_pct,5,470.4651771381073,241.83317632500246,460.62598627220154,-259.2523456723837,log marginal-likelihood (integration)105
dist_km+poverty_index+len_bin+urban_pct+wood_bin,5,469.72346266067575,236.25947454699693,459.9300425622078,-257.6880951076268,log marginal-likelihood (integration)106
dist_km+poverty_index+len_bin+wood_pct+wood_bin,5,474.84991099304904,244.87606425106057,464.30466212026073,-259.8777614167731,log marginal-likelihood (integration)107
dist_km+poverty_index+urban_pct+wood_pct+wood_bin,5,503.87530714599615,262.08452033327654,490.30565700644155,-273.6041463167593,log marginal-likelihood (integration)108
dist_km+may_bin+len_bin+urban_pct+wood_pct,5,473.7565234289916,239.86309043197275,464.73691349652245,-260.639238906237,log marginal-likelihood (integration)109
dist_km+may_bin+len_bin+urban_pct+wood_bin,5,475.6236812081954,239.23589146759488,465.29036341483646,-259.71754264213524,log marginal-likelihood (integration)110
dist_km+may_bin+len_bin+wood_pct+wood_bin,5,476.37744298471176,242.38444611252308,466.8639406325613,-260.5338675154983,log marginal-likelihood (integration)111
dist_km+may_bin+urban_pct+wood_pct+wood_bin,5,488.4105480950568,250.91718581474535,478.0169352914699,-266.83269500431135,log marginal-likelihood (integration)112
dist_km+len_bin+urban_pct+wood_pct+wood_bin,5,487.38082808728683,250.25780465090233,477.51996818660587,-266.64502185602294,log marginal-likelihood (integration)113
poverty_index+may_bin+len_bin+urban_pct+wood_pct,5,728.52831171154,368.07674538970645,691.571991194189,-373.8658055119286,log marginal-likelihood (integration)114
poverty_index+may_bin+len_bin+urban_pct+wood_bin,5,740.2466252792567,372.7471257987092,699.9340826328466,-376.942712268713,log marginal-likelihood (integration)115
poverty_index+may_bin+len_bin+wood_pct+wood_bin,5,727.5008020982997,368.45736790832234,692.0789284142069,-373.07072855021295,log marginal-likelihood (integration)116
poverty_index+may_bin+urban_pct+wood_pct+wood_bin,5,769.7220687700708,387.5513657460424,735.7792307090835,-395.62431674523265,log marginal-likelihood (integration)117
poverty_index+len_bin+urban_pct+wood_pct+wood_bin,5,714.8286340047694,359.50811145485494,687.3490388232096,-371.40170325756463,log marginal-likelihood (integration)118
may_bin+len_bin+urban_pct+wood_pct+wood_bin,5,721.5255615252522,364.44311412522666,687.4260446860429,-370.63104771139535,log marginal-likelihood (integration)119
dist_km+poverty_index+may_bin+len_bin+urban_pct+wood_pct,6,463.2098783440381,238.08599928233275,452.9578045009507,-260.08386266043027,log marginal-likelihood (integration)120
dist_km+poverty_index+may_bin+len_bin+urban_pct+wood_bin,6,463.30371740531467,233.18174986173284,452.7020989805325,-258.7351401894341,log marginal-likelihood (integration)121
dist_km+poverty_index+may_bin+len_bin+wood_pct+wood_bin,6,465.28026689952065,239.9816316876277,454.6466858914219,-259.7389289385143,log marginal-likelihood (integration)122
dist_km+poverty_index+may_bin+urban_pct+wood_pct+wood_bin,6,484.4607108084242,250.67764649625678,472.07597419347695,-269.19637507042376,log marginal-likelihood (integration)123
dist_km+poverty_index+len_bin+urban_pct+wood_pct+wood_bin,6,473.17962143304646,244.04009252428443,461.92558022317996,-264.14513814694084,log marginal-likelihood (integration)124
dist_km+may_bin+len_bin+urban_pct+wood_pct+wood_bin,6,476.95050131857647,244.00378599777312,466.62325044361694,-265.8636829421159,log marginal-likelihood (integration)125
poverty_index+may_bin+len_bin+urban_pct+wood_pct+wood_bin,6,727.15964607429,367.9216341031678,689.3283655882751,-377.05649167444494,log marginal-likelihood (integration)126
dist_km+poverty_index+may_bin+len_bin+urban_pct+wood_pct+wood_bin,7,466.2988523800566,240.47841174172217,454.6875686944726,-265.18769203352696,log marginal-likelihood (integration)127
